Timestamp,Temperature (°C),Humidity (%),lpg,co,smoke
2024-10-08 17:39:01.118,26.3,38.0,11.3,270.89,4.26
2024-10-08 17:39:07.573,26.3,37.0,7.51,253.9,72.99
2024-10-08 17:39:13.031,26.2,37.0,0.05,4.62,85.33
2024-10-08 17:39:20.499,26.2,37.0,0.06,0.36,0.19
2024-10-08 17:39:26.949,26.2,39.0,0.05,0.45,0.17
2024-10-08 17:39:33.374,26.2,39.0,12.87,496.61,0.79
2024-10-08 17:39:40.092,26.3,39.0,0.18,281.86,114.23
2024-10-08 17:39:46.504,26.2,39.0,0.07,7.7,0.17
2024-10-08 17:39:52.956,26.4,39.0,0.07,0.52,0.73
2024-10-08 17:39:59.384,26.4,39.0,14.72,1305.79,0.87
2024-10-08 17:40:05.852,26.4,39.0,0.06,0.64,6.09
2024-10-08 17:40:12.171,26.4,39.0,0.21,0.11,0.96
2024-10-08 17:40:18.498,26.5,39.0,0.19,0.09,5.52
2024-10-08 17:40:24.885,26.6,38.0,1.52,293.96,185.37
2024-10-08 17:40:31.346,26.7,38.0,0.08,0.75,168.12
2024-10-08 17:40:37.794,26.7,37.0,0.29,286.51,246.9
2024-10-08 17:40:44.247,26.7,37.0,0.07,475.72,56.19
2024-10-08 17:40:50.704,26.6,37.0,0.06,0.53,0.72
2024-10-08 17:40:56.033,26.8,38.0,16.67,10.9,0.97
2024-10-08 17:41:03.385,26.8,38.0,27.77,1260.11,1.11
2024-10-08 17:41:09.843,26.8,38.0,46.25,1336.33,844.39
2024-10-08 17:41:16.294,26.8,39.0,0.4,4142.26,536.37
2024-10-08 17:41:22.647,26.8,39.0,0.13,6692.62,609.81
2024-10-08 17:41:29.129,26.9,39.0,3.45,3.45,0.56
2024-10-08 17:41:35.564,27.0,40.0,0.14,2.59,0.47
2024-10-08 17:41:41.016,26.8,39.0,0.18,2.32,0.57
2024-10-08 17:41:48.469,26.9,39.0,0.14,2.84,0.55
2024-10-08 17:41:54.894,26.9,38.0,31.99,11057.14,15.09
2024-10-08 17:42:01.342,26.9,38.0,3.03,19.4,1.48
2024-10-08 17:42:07.684,26.9,38.0,50.98,0.2,1.43
2024-10-08 17:42:14.061,26.9,37.0,0.13,1.65,1.77
2024-10-08 17:42:20.391,26.9,38.0,215.59,59034.87,2.7
2024-10-08 17:42:26.741,26.9,38.0,109.23,12987.07,35.73
2024-10-08 17:42:33.198,26.9,38.0,6.83,12967.35,3365.9
2024-10-08 17:42:39.537,27.0,38.0,168.18,42.71,2.29
2024-10-08 17:42:45.909,27.1,38.0,0.15,1.51,3.82
2024-10-08 17:42:52.341,27.1,37.0,77.23,15998.76,21.03
2024-10-08 17:42:58.800,27.1,37.0,0.54,5348.73,1349.94
2024-10-08 17:43:05.156,27.1,37.0,0.11,28.47,17.27
2024-10-08 17:43:11.522,27.1,36.0,0.12,1.36,0.31
2024-10-08 17:43:17.981,27.2,36.0,0.42,1.24,0.38
2024-10-08 17:43:24.401,27.1,36.0,0.12,4673.7,968.78
2024-10-08 17:43:30.840,27.2,36.0,4.25,36.08,2.35
2024-10-08 17:43:37.608,27.1,36.0,48.53,3291.32,1412.79
2024-10-08 17:43:44.081,27.1,36.0,0.14,1.51,1.85
2024-10-08 17:43:50.573,27.2,36.0,0.38,0.24,365.54
2024-10-08 17:43:56.995,27.2,36.0,0.35,1.34,0.35
2024-10-08 17:44:03.429,27.1,36.0,0.56,0.21,1.98
2024-10-08 17:44:09.756,27.2,36.0,48.43,9392.03,11.25
2024-10-08 17:44:16.258,27.1,36.0,31.17,1292.52,1.27
2024-10-08 17:44:22.665,27.1,36.0,0.38,2049.09,257.82
2024-10-08 17:44:33.877,27.0,36.0,39.13,844.52,607.57
2024-10-08 17:44:42.419,26.9,36.0,27.88,14.99,1.28
2024-10-08 17:44:48.763,26.8,36.0,37.66,0.13,1.3
2024-10-08 17:44:55.112,26.8,36.0,20.0,0.13,1.27
2024-10-08 17:45:01.423,26.7,36.0,1.25,785.36,585.13
2024-10-08 17:45:07.820,26.7,36.0,11.5,890.04,113.42
2024-10-08 17:45:14.137,26.7,36.0,0.22,0.14,1.02
2024-10-08 17:45:20.442,26.6,35.0,0.08,0.76,0.25
2024-10-08 17:45:26.765,26.5,35.0,0.3,306.3,102.58
2024-10-08 17:45:33.087,26.5,35.0,0.17,0.1,4.58
2024-10-08 17:45:39.465,26.4,36.0,8.85,171.88,86.42
2024-10-08 17:45:45.916,26.4,36.0,0.21,98.3,122.48
2024-10-08 17:45:52.265,26.4,36.0,9.97,227.1,4.28
2024-10-08 17:45:58.767,26.4,36.0,0.13,5.21,3.71
2024-10-08 17:46:06.632,26.4,36.0,0.05,0.32,0.16
2024-10-08 17:46:12.962,26.3,36.0,0.06,0.34,0.73
2024-10-08 17:46:19.399,26.3,37.0,0.12,154.9,48.98
2024-10-08 17:46:25.879,26.3,37.0,0.06,0.45,0.16
2024-10-08 17:46:32.331,26.4,38.0,0.06,0.37,0.2
2024-10-08 17:46:38.769,26.3,38.0,0.06,0.59,0.81
2024-10-08 17:46:45.219,26.4,38.0,0.06,0.42,3.94
2024-10-08 17:46:52.059,26.4,38.0,9.33,5.61,0.84
2024-10-08 17:46:58.532,26.4,38.0,0.07,8.79,6.29
2024-10-08 17:47:04.989,26.5,38.0,0.07,0.52,0.93
2024-10-08 17:47:11.399,26.5,38.0,0.21,0.08,0.99
2024-10-08 17:47:17.742,26.5,37.0,0.17,0.09,0.9
2024-10-08 17:47:24.119,26.6,37.0,1.61,506.42,135.04
2024-10-08 17:47:30.454,26.6,36.0,13.51,0.1,0.91
2024-10-08 17:47:36.926,26.7,36.0,1.69,6.56,66.05
2024-10-08 17:47:43.343,26.7,36.0,0.17,0.08,0.73
2024-10-08 17:47:49.715,26.8,36.0,12.77,276.99,3.7
2024-10-08 17:47:56.063,26.8,36.0,7.0,299.52,1.16
2024-10-08 17:48:02.415,26.8,36.0,1.8,330.17,133.02
2024-10-08 17:48:08.742,26.8,36.0,0.18,0.35,0.77
2024-10-08 17:48:14.039,26.9,36.0,0.07,0.73,0.2
2024-10-08 17:48:21.463,26.9,36.0,1.24,128.88,162.32
2024-10-08 17:48:27.816,26.9,36.0,0.23,342.37,124.03
2024-10-08 17:48:34.116,27.0,36.0,0.81,0.07,75.38
2024-10-08 17:48:40.396,26.9,36.0,16.84,0.5,0.69
2024-10-08 17:48:46.736,27.0,36.0,0.17,0.09,0.91
2024-10-08 17:48:52.029,27.1,36.0,0.07,0.57,0.21
2024-10-08 17:48:59.431,27.0,35.0,0.18,0.09,0.8
2024-10-08 17:49:05.711,27.0,35.0,0.06,4.42,51.12
2024-10-08 17:49:11.018,27.1,35.0,0.15,0.07,0.55
2024-10-08 17:49:18.295,27.0,35.0,0.01,0.0,0.13
